Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-215.52455	131.45653	-75.288376	-520.2829	81.46939	-0.09002404	0.03307025	0.083254084	-0.23334986	4000	-1.8626451e-07	42581.805	-0.012404032	-1475.4375	1.3497112	0.015107302	0.1635	40.0	1.8178625106811523
1	-203.14955	117.71628	-15.5206585	-510.74365	93.35714	-4.1663823	0.42910996	-0.08121042	-4.6155205	8000	3.4570693e-08	32813.09	-0.0077172834	-1175.3398	1.3746986	0.0085289	0.09175	79.0	3.730943202972412
2	-155.91139	93.482315	13.043812	-409.7369	93.5	-8.102207	0.60505295	3.723647	-8.266003	12000	6.920099e-08	19331.354	-0.012807773	-599.9336	1.3741932	0.0123013025	0.117	79.0	5.645937919616699
3	-138.05219	69.12171	12.454009	-320.36472	86.91111	-10.728948	0.36111528	-5.876064	-10.831413	16000	2.9206277e-08	13303.953	-0.01146448	-459.19043	1.3676018	0.011702195	0.10375	79.0	7.55867862701416
4	-120.904625	78.75227	26.942316	-391.4897	100.28205	-13.056665	0.16549364	-10.95529	-13.115168	20000	-5.3644182e-09	12565.238	-0.010911569	-345.23535	1.3633088	0.006781251	0.14575	79.0	9.472910165786743
5	-100.7486	53.967342	-3.7590854	-342.70828	93.47619	-15.130691	0.030251058	-14.675898	-15.162242	24000	2.0980835e-08	7008.9785	-0.00874898	-225.33594	1.3540283	0.0150494315	0.0635	24.0	11.326172113418579
6	-143.79736	84.49278	32.477013	-326.2888	99.71795	-16.853956	0.09545231	-14.081217	-16.887934	28000	4.2259693e-08	13831.42	-0.012111746	-453.4121	1.341968	0.012908068	0.12275	79.0	13.295403957366943
7	-117.40385	75.3028	26.059322	-355.36008	102.51282	-19.27429	0.069003075	-18.24015	-19.303343	32000	-8.940697e-09	10989.632	-0.007274721	-359.79785	1.3277379	0.009445413	0.03975	79.0	15.207274675369263
8	-97.74758	70.07306	-6.2030377	-279.77316	130.96666	-21.311317	0.6799679	-17.928436	-21.53238	36000	-2.5331975e-08	7374.2427	-0.007736758	-273.36572	1.3153294	0.011044564	0.13375	79.0	17.129358530044556
9	-94.684395	76.5969	5.7408013	-334.5303	117.818184	-23.361639	0.016899286	-23.171188	-23.375528	40000	8.881092e-08	7542.815	-0.009796972	-211.56982	1.276043	0.006473656	0.05575	79.0	19.038944721221924
10	-92.7335	71.64355	21.943924	-270.02853	128.5	-25.133821	0.025246823	-24.905903	-25.147833	44000	4.172325e-09	6160.464	-0.008495866	-158.11768	1.2793378	0.0079206815	0.09575	79.0	20.952005624771118
11	-59.970634	48.818333	7.1463	-207.29448	140.53572	-26.673964	0.27577433	-23.454865	-26.723486	48000	-2.026558e-09	4142.5205	-0.006824133	-108.47461	1.2555903	0.0055989698	0.03	79.0	22.86764645576477
12	-54.938427	72.72341	16.837427	-295.77838	145.66667	-28.018652	0.010952745	-27.858097	-28.02681	52000	4.7683715e-09	4194.3687	-0.0075248946	-47.79541	1.2328997	0.01525511	0.21975	17.0	24.59690523147583
13	-54.633724	49.241043	17.764122	-226.41925	206.52632	-28.93318	0.09405236	-27.72695	-28.954458	56000	1.2159347e-08	3034.3945	-0.007845926	-45.0083	1.179681	0.008543568	0.0555	79.0	26.504539251327515
14	-80.5875	77.93061	23.731188	-227.32866	265.26666	-29.816479	0.06981874	-29.458225	-29.85207	60000	-9.536743e-09	4996.3276	-0.009543786	-100.64453	1.1613717	0.009549101	0.0725	79.0	28.41670322418213
15	-83.515015	133.5181	51.508392	-379.65408	486.625	-31.13877	0.11358965	-30.577568	-31.206038	64000	1.6689301e-09	13551.053	-0.010644567	-252.39258	1.2313313	0.013244183	0.1715	79.0	30.34642267227173
16	-20.6298	36.24515	36.374104	-125.96923	164.75	-33.326706	0.012634215	-33.11804	-33.33198	68000	-1.4185906e-08	1313.0033	-0.0066161966	-1.5168457	1.1759497	0.01511815	0.17725	21.0	32.088706254959106
17	-17.237019	53.740738	56.48067	-90.519005	554.0	-33.62114	0.062428962	-33.36247	-33.65955	72000	-7.987023e-09	1532.8917	-0.011903915	-8.640991	1.2403367	0.009792446	0.15375	79.0	34.047837257385254
18	-20.786816	63.024994	23.502861	-142.57085	669.2	-34.04572	0.03703432	-33.807785	-34.06862	76000	-1.1324882e-08	1734.2885	-0.011766552	-8.638672	1.2195885	0.012176536	0.1475	79.0	35.97984600067139
19	-45.665043	76.4269	61.972656	-156.12538	640.2	-34.49303	0.02887442	-34.373787	-34.50857	80000	4.1127204e-09	2907.1016	-0.012197603	-22.185059	1.2138473	0.015079902	0.1175	75.0	37.895984172821045
20	-28.617886	46.171227	29.325163	-121.47884	388.125	-35.201866	0.041300133	-34.875717	-35.216297	84000	-5.9604646e-09	1940.6628	-0.0089471	-8.224609	1.134223	0.008961413	0.085	79.0	39.831955671310425
21	-60.44653	53.238445	2.835289	-130.83456	537.3333	-35.67177	0.036056884	-35.40713	-35.68509	88000	-3.218651e-09	1733.0328	-0.009298611	-30.627441	1.1976271	0.008265801	0.1415	79.0	41.792651891708374
22	-54.72756	88.70159	60.0348	-220.20422	486.375	-36.541885	0.022349672	-36.232483	-36.55068	92000	-2.6226044e-09	4210.138	-0.008176179	-32.401367	1.1709237	0.00909885	0.1105	79.0	43.723623752593994
23	-52.862186	66.33269	46.87184	-134.37076	484.875	-37.477226	0.016933033	-37.39454	-37.48561	96000	-1.3947487e-08	2397.685	-0.009086663	-19.539062	1.1532127	0.009570417	0.1445	79.0	45.651575326919556
24	11.945521	42.912296	71.3508	-37.65207	753.2	-38.228138	0.03027007	-38.045403	-38.239723	100000	4.172325e-09	887.7578	-0.009332346	-9.619202	1.1490408	0.006997312	0.116	79.0	47.60054683685303
25	-6.535554	86.65818	74.02667	-152.4794	860.25	-37.758743	0.044563532	-37.31848	-37.775005	104000	1.1444092e-08	1823.3777	-0.010005081	-0.026489258	1.1492698	0.015423654	0.173	35.0	49.41191053390503
26	-55.70682	96.66614	47.30745	-155.25859	755.5	-37.727364	0.013199155	-37.647827	-37.732895	108000	4.2915342e-09	2609.802	-0.009631974	-0.4230957	1.1383946	0.010364212	0.109	79.0	51.33977150917053
27	-52.906807	135.13199	103.86408	-202.85977	807.5	-37.837364	0.014389333	-37.73212	-37.843975	112000	4.768372e-10	5709.659	-0.009822135	-26.197266	1.0995923	0.0080596	0.083	79.0	53.26799440383911
28	-57.170513	123.70957	115.20618	-217.39772	696.4	-38.72803	0.03171453	-38.172443	-38.73771	116000	2.2292138e-08	5002.813	-0.01001074	-69.82617	1.0815803	0.0069592665	0.095	79.0	55.19760203361511
29	7.700877	74.07828	100.282684	-119.718765	787.4	-40.255806	0.018839791	-40.088108	-40.26267	120000	-6.556511e-09	1998.2944	-0.0060693356	-9.441162	1.043707	0.005916566	0.07225	79.0	57.12564826011658
30	-66.36149	61.798824	46.093964	-136.9302	570.1429	-39.783764	0.013139599	-39.66159	-39.790424	124000	1.37090685e-08	2614.468	-0.008387464	-37.041016	0.99449676	0.010656983	0.14275	79.0	59.05017161369324
31	-60.46135	92.74998	74.847824	-159.56346	596.8333	-40.860153	0.0086160125	-40.744625	-40.863937	128000	1.1920929e-09	2739.9731	-0.007948027	-22.465088	1.0086846	0.009208154	0.11175	79.0	60.971781492233276
32	-74.66433	107.14859	65.42564	-239.37476	632.3333	-41.814854	0.0074280226	-41.74792	-41.818684	132000	1.0490417e-08	4655.27	-0.011390599	-46.99951	1.017047	0.008319332	0.06525	79.0	62.88878846168518
33	-23.678175	66.30366	55.711452	-102.05817	740.8	-43.16138	0.013026079	-42.997765	-43.16641	136000	1.6689301e-09	1276.0559	-0.005943855	-2.0317383	0.9606203	0.0038212526	0.0785	79.0	64.81304907798767
34	52.73961	64.55031	107.43203	-52.469494	814.75	-42.95218	0.008297592	-42.887	-42.956345	140000	-2.2888184e-08	2873.8242	-0.0074340827	-186.29028	0.9544889	0.0045072013	0.0895	79.0	66.76068115234375
35	-55.55238	84.91418	60.647594	-139.1268	692.0	-40.279907	0.011994665	-40.17728	-40.285633	144000	2.7418137e-09	3583.0696	-0.00945407	-4.026123	0.97905767	0.0055091903	0.0705	79.0	68.67571210861206
36	34.92199	97.35421	103.49714	-132.50504	901.25	-40.549335	0.009281979	-40.46019	-40.55381	148000	-3.5762786e-09	2249.8179	-0.008529257	-25.478027	0.95044446	0.005462166	0.062	79.0	70.59779572486877
37	-1.2676804	82.19824	112.770546	-93.77418	758.2	-39.577423	0.008389372	-39.47565	-39.58174	152000	-4.6491624e-09	2541.0613	-0.008148716	-28.977295	0.94928235	0.007238311	0.07625	79.0	72.52047395706177
38	-29.534678	74.00263	76.66908	-132.00462	765.6	-38.42113	0.006814604	-38.322456	-38.42491	156000	1.9073487e-09	1406.5195	-0.0077085313	-3.52063	0.9267237	0.00959562	0.05575	79.0	74.43739008903503
39	-68.7891	75.76844	40.31559	-133.49973	627.8333	-38.75412	0.0039039438	-38.69995	-38.75689	160000	-1.3053417e-08	2325.2021	-0.0074855606	-59.134766	0.97247255	0.009770483	0.0975	79.0	76.36996078491211
40	-26.223675	70.87772	45.876144	-126.889626	756.0	-40.39248	0.016342675	-40.25019	-40.399616	164000	-1.0490417e-08	2754.3508	-0.005127835	-14.354736	0.90474355	0.006356016	0.075	79.0	78.29303979873657
41	-79.40843	57.75971	1.13371	-149.68422	775.4	-39.675793	0.0070471577	-39.6077	-39.68052	168000	-1.45435335e-08	1666.2896	-0.008846975	-46.861084	0.9735444	0.010907155	0.0455	79.0	80.19938802719116
42	111.41817	56.82955	172.30005	45.261604	915.5	-41.103172	0.010388276	-41.036846	-41.1082	172000	1.4781952e-08	9256.231	-0.0076587526	-814.29785	0.8690941	0.01353708	0.08325	79.0	82.13139772415161
43	30.015377	123.22406	181.69965	-97.599045	774.8	-35.40418	0.009693253	-35.253876	-35.41061	176000	1.3232231e-08	8712.214	-0.0113859065	-245.29199	0.9186441	0.008080792	0.03975	79.0	84.04340100288391
44	-52.749386	124.3817	200.82925	-189.21774	563.3333	-32.04669	0.011085133	-31.942165	-32.053482	180000	5.6028364e-09	7175.2373	-0.009266938	-25.739258	0.95261824	0.0150754005	0.15725	77.0	85.94198632240295
45	-37.9252	99.34795	152.04463	-132.62617	658.1667	-32.88697	0.012438352	-32.7614	-32.894592	184000	-1.1205673e-08	4760.3105	-0.009740157	-8.486328	0.9437251	0.010626546	0.07275	79.0	87.85431432723999
46	33.446705	136.618	202.51793	-112.10213	568.5	-33.529568	0.009478424	-33.38863	-33.536064	188000	-1.7166137e-08	10673.442	-0.006896556	-286.4746	0.923121	0.0038780153	0.05725	79.0	89.75082612037659
47	14.516452	88.922035	115.27621	-121.55575	780.6	-30.20948	0.058175944	-29.776178	-30.2317	192000	-1.3291836e-08	5853.414	-0.006666938	-79.78418	0.8801411	0.009177456	0.10225	79.0	91.65604448318481
48	112.98965	42.296642	144.78827	40.167736	809.5	-28.258442	0.023493556	-28.037067	-28.27225	196000	-3.6239623e-08	7584.6807	-0.004388091	-606.42773	0.8681823	0.0060705477	0.0445	79.0	93.5781843662262
49	26.319958	107.6369	163.48343	-81.0064	701.8	-23.474846	0.024397375	-23.332832	-23.497257	200000	1.3947487e-08	7771.177	-0.0064928457	-123.96631	0.97722656	0.009439423	0.0605	79.0	95.47520661354065
